Country,year,Population,area
Puerto Rico,1962,2442157.0,8870.0
Qatar,1962,56187.0,11590.0
Romania,1962,18924068.0,238390.0
Russia,1962,122842753.0,17098240.0
Rwanda,1962,3050596.0,26340.0
Samoa,1962,115786.0,2840.0
San Marino,1962,16197.0,60.0
Sao Tome and Principe,1962,64429.0,960.0
Saudi Arabia,1962,4362863.0,2149690.0
Senegal,1962,3356421.0,196720.0
Serbia,1962,7669610.0,88360.0
Seychelles,1962,43409.0,460.0
Sierra Leone,1962,2239581.0,71740.0
Singapore,1962,1742472.0,680.0
Slovak Republic,1962,4245726.0,49030.0
Slovenia,1962,1605645.0,20270.0
Solomon Islands,1962,125068.0,28900.0
Somalia,1962,2874944.0,637660.0
South Africa,1962,18322335.0,1219090.0
Spain,1962,31122390.0,505990.0
Sri Lanka,1962,10366190.0,65610.0
Sudan,1962,7981797.0,2505810.0
Suriname,1962,306330.0,163820.0
Swaziland,1962,365719.0,17360.0
Sweden,1962,7576192.0,450300.0
Switzerland,1962,5503000.0,41280.0
Syria,1962,4897428.0,185180.0
Tajikistan,1962,2223956.0,142550.0
Tanzania,1962,10683888.0,947300.0
Thailand,1962,29081037.0,513120.0
East Timor,1962,517446.0,14870.0
Togo,1962,1612758.0,56790.0
Tonga,1962,66255.0,750.0
Trinidad and Tobago,1962,880019.0,5130.0
Tunisia,1962,4303130.0,163610.0
Turkey,1962,28909985.0,783560.0
Turkmenistan,1962,1708711.0,488100.0
Turks and Caicos Islands,1962,5762.0,950.0
Tuvalu,1962,6391.0,30.0
Uganda,1962,7240155.0,241550.0
Ukraine,1962,43749469.0,603560.0
United Arab Emirates,1962,112240.0,83600.0
United Kingdom,1962,53146634.0,243610.0
United States,1962,191860710.0,9629090.0
Uruguay,1962,2603887.0,176220.0
Uzbekistan,1962,9319510.0,447400.0
Vanuatu,1962,67806.0,12190.0
Venezuela,1962,8790590.0,912050.0
West Bank and Gaza,1962,1128809.0,6020.0
Vietnam,1962,34684164.0,331690.0
Virgin Islands (U.S.),1962,38513.0,350.0
Zambia,1962,3240664.0,752610.0
Zimbabwe,1962,4006262.0,390760.0
Afghanistan,1963,9531555.0,652230.0
Albania,1963,1790533.0,28750.0
Algeria,1963,11985130.0,2381740.0
American Samoa,1963,21883.0,200.0
Andorra,1963,16410.0,470.0
Angola,1963,5565808.0,1246700.0
Antigua & Barbuda,1963,57368.0,440.0
Argentina,1963,21621845.0,2780400.0
Armenia,1963,2070427.0,29740.0
Aruba,1963,56697.0,180.0
Australia,1963,10892700.0,7741220.0
Austria,1963,7199962.0,83870.0
Azerbaijan,1963,4307315.0,86600.0
Bahamas,1963,127331.0,13880.0
Bahrain,1963,178048.0,690.0
Bangladesh,1963,52532595.0,144000.0
Barbados,1963,233587.0,430.0
Belarus,1963,8438535.0,207600.0
Belgium,1963,9323467.0,
Belize,1963,100166.0,22970.0
Benin,1963,2543335.0,112620.0
Bermuda,1963,47601.0,50.0
Bhutan,1963,240364.0,47000.0
Bolivia,1963,3913397.0,1098580.0
Bosnia-Herzegovina,1963,3406466.0,51210.0
Botswana,1963,564316.0,581730.0
Brazil,1963,79368453.0,8514880.0
Brunei,1963,93650.0,5770.0
Bulgaria,1963,8073469.0,110990.0
Burkina Faso,1963,5027818.0,274220.0
Burundi,1963,2950903.0,27830.0
Cambodia,1963,6181137.0,181040.0
Cameroon,1963,5719135.0,475440.0
Canada,1963,19007305.0,9984670.0
Cape Verde,1963,216913.0,4030.0
Cayman Islands,1963,8228.0,260.0
Chad,1963,3184775.0,1284000.0
Channel Islands,1963,112595.0,190.0
Chile,1963,8237555.0,756090.0
China,1963,677332765.0,9599960.0
Colombia,1963,18033548.0,1141750.0
Comoros,1963,198205.0,1860.0
"Congo, Dem. Rep.",1963,16461914.0,2344860.0
"Congo, Rep.",1963,1096502.0,342000.0
Costa Rica,1963,1484512.0,51100.0
Cote d'Ivoire,1963,3889859.0,322460.0
Croatia,1963,4279058.0,56540.0
Cuba,1963,7618359.0,109890.0
Cyprus,1963,577912.0,9250.0
Denmark,1963,4686155.0,43090.0
Djibouti,1963,100622.0,23200.0
Dominica,1963,62920.0,750.0
Ecuador,1963,4953735.0,283560.0
Egypt,1963,29322709.0,1001450.0
El Salvador,1963,3015885.0,21040.0
Equatorial Guinea,1963,260990.0,28050.0
Eritrea,1963,1512671.0,117600.0
Estonia,1963,1260239.0,45230.0
Ethiopia,1963,23798378.0,1221900.0
Faeroe Islands,1963,35550.0,1390.0
Fiji,1963,436208.0,18270.0
Finland,1963,4522727.0,338150.0
France,1963,47781535.0,549190.0
French Polynesia,1963,86839.0,4000.0
Gabon,1963,516270.0,267670.0
Gambia,1963,389070.0,11300.0
Georgia,1963,4357379.0,69700.0
Germany,1963,74820389.0,356970.0
Ghana,1963,7303432.0,238540.0
Gibraltar,1963,22510.0,10.0
Greece,1963,8452617.0,131960.0
Greenland,1963,35038.0,341700.0
Grenada,1963,93354.0,340.0
Guam,1963,71289.0,540.0
Guatemala,1963,4476923.0,108890.0
